seqname,tax_id,species_name
MATE_ISO_0008_Desulfonatronospira_thiodismutans_ASO3-1_Deltaproteobacteria,488939,Desulfonatronospira thiodismutans
MATE_ISO_0009_Desulfovibrio_aespoeensis_Aspo-2_Deltaproteobacteria,182210,Pseudodesulfovibrio aespoeensis
MATE_ISO_0010_Desulfovibrio_africanus_Benghazi_Deltaproteobacteria,1121435,Desulfocurvibacter africanus subsp. africanus DSM 2603
MATE_ISO_0011_Desulfovibrio_africanus_Walvis_Bay_Deltaproteobacteria,873,Desulfocurvibacter africanus
MATE_ISO_0012_Desulfovibrio_alkalitolerans_DSM_16529_Deltaproteobacteria,293256,Desulfohalovibrio alkalitolerans
MATE_ISO_0013_Desulfovibrio_sp._X2_Deltaproteobacteria,941449,Desulfovibrio sp. X2
MATE_ISO_0014_Geobacter_bemidjiensis_Bem_Deltaproteobacteria,225194,Geobacter bemidjiensis
MATE_ISO_0015_Geobacter_daltonii_FRC-32_Deltaproteobacteria,1203471,Geobacter daltonii
MATE_ISO_0016_Geobacter_metallireducens_GS-15_Deltaproteobacteria,28232,Geobacter metallireducens
MATE_ISO_0017_Syntrophus_aciditrophicus_SB_Deltaproteobacteria,56780,Syntrophus aciditrophicus SB
MATE_ISO_0018_Methanocella_paludicola_SANAE_Euryarchaeota,570267,Methanocella paludicola
MATE_ISO_0019_Methanocorpusculum_bavaricum_DSM_4179_Euryarchaeota,71518,Methanocorpusculum bavaricum
MATE_ISO_0020_Methanofollis_liminatans_GKZPZ_Euryarchaeota,2201,Methanofollis liminatans
MATE_ISO_0021_Methanolobus_tindarius_DSM_2278_Euryarchaeota,1090322,Methanolobus tindarius DSM 2278
MATE_ISO_0022_Methanomethylovorans_hollandica_DSM_15978_Euryarchaeota,101192,Methanomethylovorans hollandica
MATE_ISO_0023_Methanosphaerula_palustris_E1-9c_Euryarchaeota,475088,Methanosphaerula palustris
MATE_ISO_0024_Methanospirillum_hungatei_JF-1_Euryarchaeota,323259,Methanospirillum hungatei JF-1
MATE_ISO_0025_Acetonema_longum_DSM_6540_Firmicutes-Clostridia,2374,Acetonema longum
MATE_ISO_0026_Desulfitobacterium_dehalogenans_JWIU-DC1_Firmicutes-Clostridia,36854,Desulfitobacterium dehalogenans
MATE_ISO_0027_Desulfitobacterium_metallireducens_853-15A_Firmicutes-Clostridia,142877,Desulfitobacterium metallireducens
MATE_ISO_0028_Desulfosporosinus_acidophilus_SJ4_Firmicutes-Clostridia,885581,Desulfosporosinus acidiphilus
MATE_ISO_0029_Desulfosporosinus_youngiae_JWYJL-B18_Firmicutes-Clostridia,339862,Desulfosporosinus youngiae
MATE_ISO_0030_Dethiobacter_alkaliphilus_AHT_1_Firmicutes-Clostridia,555088,Dethiobacter alkaliphilus AHT 1
MATE_ISO_0031_Ethanoligenens_harbinense_YUAN-3_Firmicutes-Clostridia,663278,Ethanoligenens harbinense YUAN-3
MATE_ISO_0032_Methanomassiliicoccus_luminyensis_B10_Thermoplasmata,1175296,Methanomassiliicoccus luminyensis B10
MATE_ISO_0033_Methanococcoides_methylutens_TMA-10_Euryarchaeota,2226,Methanococcoides methylutens
MATE_ISO_0034_Pyrococcus_furiosus_COM1_Thermococci,2261,Pyrococcus furiosus
MATE_ISO_0035_Streptomyces_sp._CNQ-509_Actinobacteria,444103,Streptomyces sp. CNQ-509
MATE_ISO_0036_Lentzea_flaviverrucosa_strain_CGMCC_4.578_Actinobacteria,200379,Lentzea flaviverrucosa
MATE_ISO_0037_Bradyrhizobium_sp._Ai1a-2_K288DRAFT_Alphaproteobacteria,196490,Bradyrhizobium sp. Ai1a-2
MATE_ISO_0038_Defluviimonas_indica_strain_DSM_24802_Alphaproteobacteria,765699,Acidimangrovimonas indica
MATE_ISO_0039_Stappia_sp._TSB10P1A_Alphaproteobacteria,2003585,Stappia sp. TSB10P1A
MATE_ISO_0040_Paludibacter_jiangxiensis_NM7_Bacteroidetes,681398,Paludibacter jiangxiensis
MATE_ISO_0041_Marinilabilia_salmonicolor_MSL42_Bacteroidetes,1797675,Chloroflexi bacterium RIFOXYD12_FULL_57_15
MATE_ISO_0042_Marinilabilia_salmonicolor_160A_Bacteroidetes,989,Marinilabilia salmonicolor
MATE_ISO_0043_Dehalococcoides_mccartyi_DCMB5_Chloroflexi,61435,Dehalococcoides mccartyi
MATE_ISO_0044_Leptolinea_tardivitalis_YMTK-2_Chloroflexi,229920,Leptolinea tardivitalis
MATE_ISO_0045_Geobacter_metallireducens_GS-15_Deltaproteobacteria,269799,Geobacter metallireducens GS-15
MATE_ISO_0046_Geobacter_uraniireducens_Rf4_Deltaproteobacteria,351604,Geobacter uraniireducens
MATE_ISO_0047_Geobacter_sp._M21_Deltaproteobacteria,443144,Geobacter sp. M21
MATE_ISO_0048_Geobacter_sp._M18_Deltaproteobacteria,443143,Geobacter sp. M18
MATE_ISO_0049_delta_proteobacterium_NaphS2_Deltaproteobacteria,88274,delta proteobacterium NaphS2
MATE_ISO_0050_Geobacter_sulfurreducens_KN400_Deltaproteobacteria,663917,Geobacter sulfurreducens KN400
MATE_ISO_0051_Desulfomonile_tiedjei_DCB-1_DSM_6799_Deltaproteobacteria,2358,Desulfomonile tiedjei
MATE_ISO_0052_Desulfovibrio_africanus_PCS_Deltaproteobacteria,873,Desulfocurvibacter africanus
MATE_ISO_0053_Desulfotignum_phosphitoxidans_FiPS-3_Deltaproteobacteria,190898,Desulfotignum phosphitoxidans
MATE_ISO_0054_Desulfovibrio_oxyclinae_DSM_11498_Deltaproteobacteria,63560,Desulfovibrio oxyclinae
MATE_ISO_0055_Geopsychrobacter_electrodiphilus_DSM_16401_Deltaproteobacteria,225196,Geopsychrobacter electrodiphilus
MATE_ISO_0056_Desulfospira_joergensenii_DSM_10085_Deltaproteobacteria,53329,Desulfospira joergensenii
MATE_ISO_0057_Desulfovibrio_longus_DSM_6739_Deltaproteobacteria,889,Desulfovibrio longus
MATE_ISO_0058_Desulfotignum_balticum_Sax-T_Deltaproteobacteria,115781,Desulfotignum balticum
MATE_ISO_0059_Geobacter_bremensis_R1_Deltaproteobacteria,60035,Geobacter bremensis
MATE_ISO_0060_Desulfovibrio_inopinatus_DSM_10711_Deltaproteobacteria,102109,Desulfovibrio inopinatus
MATE_ISO_0061_Desulfovibrio_putealis_DSM_16056_Deltaproteobacteria,270496,Desulfovibrio putealis
MATE_ISO_0062_Desulfobulbus_japonicus_DSM_18378_Deltaproteobacteria,231447,Desulfobulbus japonicus
MATE_ISO_0063_Desulfobulbus_mediterraneus_DSM_13871_Deltaproteobacteria,160661,Desulfobulbus mediterraneus
MATE_ISO_0064_delta_proteobacterium_PSCGC_5451_Deltaproteobacteria,1286376,delta proteobacterium PSCGC 5451
MATE_ISO_0065_Syntrophorhabdus_aromaticivorans_UI_DSM_17771_Deltaproteobacteria,909663,Syntrophorhabdus aromaticivorans UI
MATE_ISO_0066_Desulfocurvus_vexinensis_DSM_17965_G495DRAFT_Deltaproteobacteria,1121406,Desulfocurvus vexinensis DSM 17965
MATE_ISO_0067_Desulfonatronum_lacustre_Z-7951_DSM_10312_Deltaproteobacteria,66849,Desulfonatronum lacustre
MATE_ISO_0068_Deferrisoma_camini_S3R1_Deltaproteobacteria,1035120,Deferrisoma camini
MATE_ISO_0069_Desulfonatronovibrio_hydrogenovorans_DSM_9292_Deltaproteobacteria,53245,Desulfonatronovibrio hydrogenovorans
MATE_ISO_0070_Pelobacter_seleniigenes_DSM_18267_Deltaproteobacteria,1122946,Pelobacter seleniigenes DSM 18267
MATE_ISO_0071_Desulfohalovibrio_reitneri_L21-Syr-AB_Deltaproteobacteria,885,Desulfovibrio sp.
MATE_ISO_0072_Desulfonatronum_thiodismutans_MLF-1_Deltaproteobacteria,159290,Desulfonatronum thiodismutans
MATE_ISO_0073_Desulfobacula_sp._TS_Deltaproteobacteria,1232437,Desulfobacula sp. TS
MATE_ISO_0074_Smithella_sp._F21_Deltaproteobacteria,1538640,Smithella sp. F21
MATE_ISO_0075_Desulfobulbus_sp._Tol-SR_Deltaproteobacteria,1536652,Desulfobulbus sp. Tol-SR
MATE_ISO_0076_Geobacter_sp._OR-1_Deltaproteobacteria,1266765,Geobacter sp. OR-1
MATE_ISO_0077_Geobacter_soli_GSS01_Deltaproteobacteria,1510391,Geobacter soli
MATE_ISO_0078_Geobacter_pickeringii_G13_DSM_17153_Deltaproteobacteria,345632,Geobacter pickeringii
MATE_ISO_0079_Geoalkalibacter_ferrihydriticus_DSM_17813_Deltaproteobacteria,1121915,Geoalkalibacter ferrihydriticus DSM 17813
MATE_ISO_0080_Desulfarculus_sp._SPR_Deltaproteobacteria,1429043,Dethiosulfatarculus sandiegensis
MATE_ISO_0081_Desulfonatronum_thioautotrophicum_ASO4-1_Deltaproteobacteria,617001,Desulfonatronum thioautotrophicum
MATE_ISO_0082_Geobacter_sulfurreducens_AM-1_Deltaproteobacteria,35554,Geobacter sulfurreducens
MATE_ISO_0083_Desulfocarbo_indianensis_SCBM_Deltaproteobacteria,1348163,Desulfocarbo indianensis
MATE_ISO_0084_Desulfuromonas_soudanensi_WTL_Deltaproteobacteria,1603606,Desulfuromonas soudanensis
MATE_ISO_0085_Desulfovibrio_brasiliensis_JCM_12178_Deltaproteobacteria,1294020,Desulfovibrio brasiliensis JCM 12178
MATE_ISO_0086_Desulfosarcina_cetonica_JCM_12296_Deltaproteobacteria,90730,Desulfosarcina cetonica
MATE_ISO_0087_Geobacter_toluenoxydans_JCM_15764_Deltaproteobacteria,1294260,Geobacter toluenoxydans JCM 15764
MATE_ISO_0088_Pseudodesulfovibrio_indicus_J2_Deltaproteobacteria,1716143,Pseudodesulfovibrio indicus
MATE_ISO_0089_Desulfuromonas_sp._DDH964_Deltaproteobacteria,1823759,Desulfuromonas sp. DDH964
MATE_ISO_0090_Geobacter_anodireducens_SD-1_Deltaproteobacteria,1340425,Geobacter anodireducens
MATE_ISO_0091_Pseudodesulfovibrio_hydrargyri_BerOc1_Deltaproteobacteria,2125990,Pseudodesulfovibrio hydrargyri
MATE_ISO_0092_Geothermobacter_sp._EPR-M_Deltaproteobacteria,1969733,Geothermobacter sp. EPR-M
MATE_ISO_0093_Geobacter_pelophilus_Drf2_Deltaproteobacteria,60036,Geobacter pelophilus
MATE_ISO_0094_Desulfofaba_hansenii_P1_Deltaproteobacteria,157842,Desulfofaba hansenii
MATE_ISO_0095_Geothermobacter_sp._HR-1_Deltaproteobacteria,654845,Geothermobacter sp. HR-1
MATE_ISO_0096_Desulfonatronum_sp._SC1_Deltaproteobacteria,2109626,Desulfonatronum sp. SC1
MATE_ISO_0097_Geobacter_sp._DSM_2909_Deltaproteobacteria,2135459,Geobacter sp. DSM 2909
MATE_ISO_0098_Geobacter_sulfurreducens_YM18_Deltaproteobacteria,35554,Geobacter sulfurreducens
MATE_ISO_0099_Desulfosoma_caldarium_DSM_22027_Deltaproteobacteria,610254,Desulfosoma caldarium
MATE_ISO_0100_Desulfovibrio_ferrophilus_IS5_Deltaproteobacteria,241368,Desulfovibrio ferrophilus
MATE_ISO_0101_Pseudodesulfovibrio_sp._S3_Deltaproteobacteria,2283629,Pseudodesulfovibrio sp. S3
MATE_ISO_0102_Geobacter_sp._S43_Deltaproteobacteria,2364273,Geomonas oryzae
MATE_ISO_0103_Pseudodesulfovibrio_indicus_DSM_101483_Deltaproteobacteria,1716143,Pseudodesulfovibrio indicus
MATE_ISO_0104_Geobacter_sp._Red111_Deltaproteobacteria,2562681,Geomonas terrae
MATE_ISO_0105_Geobacter_sp._S62_Deltaproteobacteria,2570227,Geomonas ferrireducens
MATE_ISO_0106_Geobacter_sp._Red53_Deltaproteobacteria,2570226,Geomonas edaphica
MATE_ISO_0107_Desulfopila_sp._IMCC35006_Deltaproteobacteria,2569542,Desulfopila sp. IMCC35006
MATE_ISO_0108_Desulfopila_sp._IMCC35005_Deltaproteobacteria,2569541,Desulfopila sp. IMCC35005
MATE_ISO_0109_Desulfopila_sp._IMCC35004_Deltaproteobacteria,2569540,Desulfopila sp. IMCC35004
MATE_ISO_0110_Desulfovibrio_indonesiensis_P37SLT_Deltaproteobacteria,54767,Desulfovibrio indonesiensis
MATE_ISO_0111_Desulfovibrio_marinus_P48SEP_Deltaproteobacteria,370038,Desulfovibrio marinus
MATE_ISO_0112_Geobacter_argillaceus_ATCC_BAA-1139_Deltaproteobacteria,345631,Geobacter argillaceus
MATE_ISO_0113_Desulfoluna_spongiiphila_AA1_Deltaproteobacteria,419481,Desulfoluna spongiiphila
MATE_ISO_0114_Geoalkalibacter_ferrihydriticus_DSM_17813_Deltaproteobacteria,1121915,Geoalkalibacter ferrihydriticus DSM 17813
MATE_ISO_0115_Desulforhopalus_singaporensis_strain_DSM_12130_Deltaproteobacteria,1121418,Desulforhopalus singaporensis DSM 12130
MATE_ISO_0116_Desulfobacula_phenolica_Ph01_Deltaproteobacteria,90732,Desulfobacula phenolica
MATE_ISO_0117_Syntrophus_gentianae_HQG1_Deltaproteobacteria,43775,Syntrophus gentianae
MATE_ISO_0118_Desulfomicrobium_apsheronum_DSM_5918_Deltaproteobacteria,52560,Desulfomicrobium apsheronum
MATE_ISO_0119_Desulfomicrobium_norvegicum_DSM_1741_Deltaproteobacteria,52561,Desulfomicrobium norvegicum
MATE_ISO_0120_Desulfacinum_infernum_DSM_9756_Deltaproteobacteria,35837,Desulfacinum infernum
MATE_ISO_0121_Desulfofustis_glycolicus_DSM_9705_Deltaproteobacteria,51195,Desulfofustis glycolicus
MATE_ISO_0122_Desulfopila_aestuarii_DSM_18488_Deltaproteobacteria,1102,Prosthecochloris aestuarii
MATE_ISO_0123_Desulfovibrio_bizertensis_DSM_18034_Deltaproteobacteria,376490,Desulfovibrio bizertensis
MATE_ISO_0124_Desulfamplus_magnetovallimortis_PRJEB14757_Deltaproteobacteria,1246637,Desulfamplus magnetovallimortis
MATE_ISO_0125_Desulfobacterium_vacuolatum_DSM_3385_Deltaproteobacteria,1121400,Desulfobacterium vacuolatum DSM 3385
MATE_ISO_0126_Geobacter_sp._DSM_9736_Deltaproteobacteria,1277350,Geobacter sp. DSM 9736
MATE_ISO_0127_Pseudodesulfovibrio_profundus_500-1_Deltaproteobacteria,57320,Pseudodesulfovibrio profundus
MATE_ISO_0128_Desulfobulbaceae_bacterium_PR2_D12_Deltaproteobacteria,1092813,Desulfobulbaceae bacterium PR2_D12
MATE_ISO_0129_Desulfovibrio_halophilus_DSM_5663_Deltaproteobacteria,1121450,Desulfovibrio halophilus DSM 5663
MATE_ISO_0130_Desulfococcus_biacutus_KMRActS_Deltaproteobacteria,125602,Desulfococcus biacutus
MATE_ISO_0131_Desulfonatronum_zhilinae_Al915-01_Deltaproteobacteria,1256678,Desulfonatronum zhilinae
MATE_ISO_0132_delta_proteobacterium_PSCGC_5419_Deltaproteobacteria,1286377,delta proteobacterium PSCGC 5419
MATE_ISO_0133_delta_proteobacterium_MLMS-1_Deltaproteobacteria,262489,delta proteobacterium MLMS-1
MATE_ISO_0134_Desulfonatronum_thiosulfatophilum_ASO4-2_Deltaproteobacteria,617002,Desulfonatronum thiosulfatophilum
MATE_ISO_0135_Methanoregula_boonei_6A8_Euryarchaeota,456442,Methanoregula boonei 6A8
MATE_ISO_0136_Methanocella_arvoryzae_MRE50_RC-I_Euryarchaeota,570266,Methanocella
MATE_ISO_0137_Methanolobus_psychrophilus_R15_Euryarchaeota,420950,Methanolobus psychrophilus
MATE_ISO_0138_Methanoregula_formicica_SMsp._Euryarchaeota,882104,Methanoregula formicica
MATE_ISO_0139_Methanoculleus_chikugoensis_JCM_10825_Euryarchaeota,1293042,Methanoculleus chikugoensis JCM 10825
MATE_ISO_0140_Methanomassiliicoccales_archaeon_RumEn_M1_Ga0117923_Euryarchaeota,1713724,Methanomassiliicoccales archaeon RumEn M1
MATE_ISO_0141_Methanolobus_psychrotolerans_YSF-03_Euryarchaeota,1874706,Methanolobus psychrotolerans
MATE_ISO_0142_Methanocorpusculum_parvum_XII_Euryarchaeota,2193,Methanocorpusculum parvum
MATE_ISO_0143_Methanospirillum_lacunae_Ki8-1_Euryarchaeota,668570,Methanospirillum lacunae
MATE_ISO_0144_Methanolobus_vulcani_B1d_Euryarchaeota,668570,Methanospirillum lacunae
MATE_ISO_0145_Methanolobus_vulcani_PL_12M_Euryarchaeota,38026,Methanolobus vulcani
MATE_ISO_0146_Methanolobus_profundi_Mob_M_Euryarchaeota,487685,Methanolobus profundi
MATE_ISO_0147_Hungateiclostridium_cellulolyticum_CD2_Firmicutes-Clostridia,35830,Hungateiclostridium cellulolyticum
MATE_ISO_0148_Syntrophobotulus_glycolicus_DSM_8271_Firmicutes-Clostridia,51197,Syntrophobotulus glycolicus
MATE_ISO_0149_Desulfosporosinus_sp._OT_Firmicutes-Clostridia,913865,Desulfosporosinus sp. OT
MATE_ISO_0150_Desulfosporosinus_orientis_Singapore_I_DSM_765_Firmicutes-Clostridia,1563,Desulfosporosinus orientis
MATE_ISO_0151_Desulfitobacterium_dichloroeliminans_LMG_P-21439_Firmicutes-Clostridia,233055,Desulfitobacterium dichloroeliminans
MATE_ISO_0152_Clostridium_tunisiense_TJ_Firmicutes-Clostridia,219748,Clostridium tunisiense
MATE_ISO_0153_Dehalobacter_sp._DCA_Firmicutes-Clostridia,1147129,Dehalobacter sp. DCA
MATE_ISO_0154_Dehalobacter_sp._CF_Firmicutes-Clostridia,1131462,Dehalobacter sp. CF
MATE_ISO_0155_Clostridium_termitidis_CT1112_DSM_5398_Firmicutes-Clostridia,29371,Ruminiclostridium cellobioparum subsp. termitidis
MATE_ISO_0156_Desulfitobacterium_sp._PCE1_Firmicutes-Clostridia,146907,Desulfitobacterium sp. PCE1
MATE_ISO_0157_Dehalobacter_sp._UNSWDHB_Firmicutes-Clostridia,1339256,Dehalobacter sp. UNSWDHB
MATE_ISO_0158_Dehalobacter_restrictus_DSM_9455_Firmicutes-Clostridia,55583,Dehalobacter restrictus
MATE_ISO_0159_Hungateiclostridium_straminisolvens_JCM_21531_Firmicutes-Clostridia,1294263,Hungateiclostridium straminisolvens JCM 21531
MATE_ISO_0160_Ruminiclostridium_cellobioparum__DSM_1351_Firmicutes-Clostridia,1121303,Ruminiclostridium cellobioparum DSM 1351 = ATCC 15832
MATE_ISO_0161_Clostridium_litorale_W6_DSM_5388_Firmicutes-Clostridia,1557,Peptoclostridium litorale
MATE_ISO_0162_Desulfosporosinus_sp._Tol-M_Ga0063340_Firmicutes-Clostridia,1536651,Desulfosporosinus sp. Tol-M
MATE_ISO_0163_Desulfosporosinus_sp._I2_Firmicutes-Clostridia,1617025,Desulfosporosinus sp. I2
MATE_ISO_0164_Desulfosporosinus_acididurans_M1_Firmicutes-Clostridia,476652,Desulfosporosinus acididurans
MATE_ISO_0165_Pseudobacteroides_cellulosolvens_ATCC_35603_DSM_2933_Firmicutes-Clostridia,35825,Pseudobacteroides cellulosolvens
MATE_ISO_0166_Caloramator_mitchellensis_strain_VF08_ABG79_Firmicutes-Clostridia,908809,Caloramator mitchellensis
MATE_ISO_0167_Dehalobacter_sp._TeCB1_Firmicutes-Clostridia,1843715,Dehalobacter sp. TeCB1
MATE_ISO_0168_Desulfosporosinus_sp._BG_Firmicutes-Clostridia,1633135,Desulfosporosinus sp. BG
MATE_ISO_0169_Clostridium_sp._Bc-iso-3_Firmicutes-Clostridia,1848158,Clostridium sp. Bc-iso-3
MATE_ISO_0170_Desulfuribacillus_stibiiarsenatis_MLFW-2_Firmicutes-Clostridia,1390249,Desulfuribacillus stibiiarsenatis
MATE_ISO_0171_Clostridium_kluyveri_JZZ_Firmicutes-Clostridia,1534,Clostridium kluyveri
MATE_ISO_0172_Desulfosporosinus_sp._OL_Firmicutes-Clostridia,1888891,Desulfosporosinus sp. OL
MATE_ISO_0173_Ruminiclostridium_hungatei_DSM_14427_Firmicutes-Clostridia,48256,Ruminiclostridium hungatei
MATE_ISO_0174_Desulfosporosinus_sp._FKB_Firmicutes-Clostridia,1969835,Desulfosporosinus sp. FKB
MATE_ISO_0175_Desulfosporosinus_sp._FKA_Firmicutes-Clostridia,1969834,Desulfosporosinus sp. FKA
MATE_ISO_0176_Clostridium_sp._link-BC1_Firmicutes-Clostridia,1799534,Clostridium sp. link-BC1
MATE_ISO_0177_Clostridium_liquoris_DSM_100320_Firmicutes-Clostridia,1289519,Clostridium liquoris
MATE_ISO_0178_Dehalobacter_sp._MCB1_Firmicutes-Clostridia,1844756,Dehalobacter sp. MCB1
MATE_ISO_0179_Ethanoligenens_harbinense_B49_Firmicutes-Clostridia,253239,Ethanoligenens harbinense
MATE_ISO_0180_Ethanoligenens_harbinense_X-29_Firmicutes-Clostridia,253239,Ethanoligenens harbinense
MATE_ISO_0181_Hungateiclostridium_sp._N2K1_Firmicutes-Clostridia,2487273,Hungateiclostridium mesophilum
MATE_ISO_0182_Dehalobacter_sp._12DCB1_Firmicutes-Clostridia,2070364,Dehalobacter sp. 12DCB1
MATE_ISO_0183_Dehalobacter_sp._14DCB1_Firmicutes-Clostridia,2070227,Dehalobacter sp. 14DCB1
MATE_ISO_0184_Serpentinicella_alkaliphila_DSM_100013_Firmicutes-Clostridia,1734049,Serpentinicella alkaliphila
MATE_ISO_0185_Desulfosporosinus_fructosivorans_63.6F_Firmicutes-Clostridia,2018669,Desulfosporosinus fructosivorans
MATE_ISO_0186_Desulfosporosinus_sp._Sb-LF_Firmicutes-Clostridia,2560027,Desulfosporosinus sp. Sb-LF
MATE_ISO_0187_Ethanoligenens_harbinense_W1_Firmicutes-Clostridia,253239,Ethanoligenens harbinense
MATE_ISO_0188_Alkaliphilus_peptidifermentans_DSM_18978_Firmicutes-Clostridia,426129,Alkaliphilus peptidifermentans
MATE_ISO_0189_Natronincola_peptidivorans_DSM_18979_Firmicutes-Clostridia,1122597,Natronincola peptidivorans DSM 18979
MATE_ISO_0190_Desulfosporosinus_lacus_DSM_15449_Firmicutes-Clostridia,329936,Desulfosporosinus lacus
MATE_ISO_0191_Peptoclostridium_litorale_DSM_5388_Firmicutes-Clostridia,1121324,Peptoclostridium litorale DSM 5388
MATE_ISO_0192_Clostridium_jejuense_DSM_15929_Firmicutes-Clostridia,259063,Anaerocolumna jejuensis
MATE_ISO_0193_Clostridium_xylanovorans_DSM_12503_Firmicutes-Clostridia,100134,Anaerocolumna xylanovorans
MATE_ISO_0194_Khelaifiella_massiliensis_Mt13_Firmicutes-Clostridia,1658110,Haloimpatiens massiliensis
MATE_ISO_0195_Clostridium_sp._BSD9I1_Firmicutes-Clostridia,2003589,Clostridium sp. BSD9I1
MATE_ISO_0196_Lucifera_butyrica_LUCI_Firmicutes-Clostridia,1351585,Lucifera butyrica
MATE_ISO_0197_Clostridium_cellulosi_CS-4-4_Firmicutes-Clostridia,1367212,[Clostridium] cellulosi CS-4-4
